Education,Marital_Status,Income,Kidhome,Teenhome,Dt_Customer,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Response,Age,Spending,Has_child,Living_With,Children
Postgraduate,Divorced,59354.0,With_Kid,With_Teen,2013-11-15,53,233,2,53,3,5,14,3,6,1,5,6,0,0,0,0,0,0,0,73,310,1,Single,2
Graduate,Married,17323.0,Without_Kid,Without_Teen,2012-10-10,38,3,14,17,6,1,5,1,1,0,3,8,0,0,0,0,0,0,0,38,46,0,Partner,0
Postgraduate,Single,82800.0,Without_Kid,Without_Teen,2012-11-24,23,1006,22,115,59,68,45,1,7,6,12,3,0,0,1,1,0,0,1,79,1315,0,Single,0
Graduate,Married,41850.0,With_Kid,With_Teen,2012-12-24,51,53,5,19,2,13,4,3,3,0,3,8,0,0,0,0,0,0,0,45,96,1,Partner,2
Graduate,Together,37760.0,Without_Kid,Without_Teen,2012-08-31,20,84,5,38,150,12,28,2,4,1,6,7,0,0,0,0,0,0,0,79,317,0,Partner,0
Postgraduate,Married,76995.0,Without_Kid,With_Teen,2013-03-28,91,1012,80,498,0,16,176,2,11,4,9,5,0,0,0,1,0,0,0,76,1782,1,Partner,1
Undergraduate,Single,33812.0,With_Kid,Without_Teen,2012-11-03,86,4,17,19,30,24,39,2,2,1,3,6,0,0,0,0,0,0,0,40,133,1,Single,1
Graduate,Married,37040.0,Without_Kid,Without_Teen,2012-08-08,41,86,2,73,69,38,48,1,4,2,5,8,0,0,0,0,0,0,0,43,316,0,Partner,0
Graduate,Married,2447.0,With_Kid,Without_Teen,2013-01-06,42,1,1,1725,1,1,1,15,0,28,0,1,0,0,0,0,0,0,0,46,1730,1,Partner,1
Postgraduate,Married,58607.0,Without_Kid,With_Teen,2012-12-23,63,867,0,86,0,0,19,3,2,3,9,8,0,1,0,0,0,0,0,76,972,1,Partner,1
Postgraduate,Married,65324.0,Without_Kid,With_Teen,2014-01-11,0,384,0,102,21,32,5,3,6,2,9,4,0,0,0,0,0,0,0,71,544,1,Partner,1
Graduate,Together,40689.0,Without_Kid,With_Teen,2013-03-18,69,270,3,27,39,6,99,7,7,1,5,8,0,0,0,0,0,0,0,74,444,1,Partner,1
Graduate,Single,18589.0,Without_Kid,Without_Teen,2013-01-02,89,6,4,25,15,12,13,2,2,1,3,7,0,0,0,0,0,0,0,56,75,0,Single,0
Graduate,Married,53359.0,With_Kid,With_Teen,2013-05-27,4,173,4,30,3,6,41,4,5,1,4,7,0,0,0,0,0,0,0,49,257,1,Partner,2
Graduate,Married,38360.0,With_Kid,Without_Teen,2013-05-31,26,36,2,42,20,21,10,2,2,1,4,3,0,0,0,0,0,0,0,36,131,1,Partner,1
Postgraduate,Married,84618.0,Without_Kid,Without_Teen,2013-11-22,96,684,100,801,21,66,0,1,6,9,10,2,0,0,1,0,0,0,0,60,1672,0,Partner,0
Postgraduate,Divorced,10979.0,Without_Kid,Without_Teen,2014-05-22,34,8,4,10,2,2,4,2,3,0,3,5,0,0,0,0,0,0,0,36,30,0,Single,0
Postgraduate,Together,38620.0,Without_Kid,Without_Teen,2013-05-11,56,112,17,44,34,22,89,1,2,5,3,3,0,0,0,0,0,0,0,62,318,0,Partner,0
Graduate,Together,40548.0,Without_Kid,With_Teen,2012-10-10,31,110,0,5,2,0,3,2,2,1,4,5,0,1,0,0,0,0,0,55,120,1,Partner,1
Postgraduate,Divorced,46610.0,Without_Kid,With_Teen,2012-10-29,8,96,12,96,33,22,43,6,4,1,6,6,0,0,0,0,0,0,1,73,302,1,Single,2
Postgraduate,Married,68657.0,Without_Kid,Without_Teen,2013-02-20,4,482,34,471,119,68,22,1,3,5,9,7,0,0,0,0,0,0,0,79,1196,0,Partner,0
Postgraduate,Single,49389.0,With_Kid,With_Teen,2013-08-29,55,40,0,19,2,1,3,1,2,0,3,7,0,0,0,0,0,0,0,74,65,1,Single,2
Postgraduate,Married,67353.0,Without_Kid,With_Teen,2013-12-31,37,702,17,151,0,8,35,5,5,6,12,2,0,0,0,0,0,0,0,55,913,1,Partner,1
Undergraduate,Married,23718.0,With_Kid,Without_Teen,2013-09-02,76,6,3,14,15,7,36,3,3,1,2,7,0,0,0,0,0,0,0,49,81,1,Partner,1
Graduate,Widow,42429.0,Without_Kid,With_Teen,2014-02-11,99,55,0,6,2,0,4,2,1,1,3,5,0,0,0,0,0,0,0,52,67,1,Single,1
Postgraduate,Divorced,48948.0,Without_Kid,Without_Teen,2013-02-01,53,437,8,206,160,49,42,2,7,10,5,6,1,0,0,0,0,0,1,82,902,0,Single,0
Graduate,Married,80011.0,Without_Kid,With_Teen,2013-04-29,3,421,76,536,82,178,102,2,8,6,5,4,0,0,0,0,0,0,0,45,1395,1,Partner,1
Postgraduate,Married,20559.0,With_Kid,Without_Teen,2013-03-12,88,13,1,29,3,0,7,2,2,0,3,8,0,0,0,0,0,0,0,40,53,1,Partner,1
Graduate,Together,21994.0,Without_Kid,With_Teen,2012-12-24,4,9,0,6,3,1,3,1,0,0,3,5,0,0,0,0,0,0,0,68,22,1,Partner,1
Postgraduate,Married,7500.0,With_Kid,Without_Teen,2013-10-02,19,3,1,10,3,2,12,3,2,0,3,5,0,0,0,0,0,0,0,50,31,1,Partner,1
Graduate,Single,79941.0,Without_Kid,Without_Teen,2014-06-28,72,123,164,266,227,30,174,1,2,4,9,1,0,0,0,0,0,0,0,49,984,0,Single,0
Undergraduate,Married,7500.0,Without_Kid,Without_Teen,2012-11-09,24,3,18,14,15,22,50,3,3,1,3,9,0,0,0,0,0,0,1,29,122,0,Partner,0
Graduate,Together,41728.0,With_Kid,Without_Teen,2013-05-24,92,13,6,15,3,5,13,1,2,0,2,10,0,0,0,0,0,0,0,57,55,1,Partner,1
Postgraduate,Married,72550.0,With_Kid,With_Teen,2012-11-08,39,826,50,317,50,38,38,9,5,2,12,8,0,0,0,0,0,0,0,71,1319,1,Partner,2
Graduate,Widow,65486.0,Without_Kid,With_Teen,2014-05-12,29,245,19,125,37,67,14,1,4,2,10,2,0,0,0,0,0,0,0,68,507,1,Single,1
Postgraduate,Married,79143.0,Without_Kid,Without_Teen,2012-08-11,2,650,37,780,27,167,32,1,6,9,13,3,0,0,0,0,0,0,0,61,1693,0,Partner,0
Graduate,Single,35790.0,With_Kid,Without_Teen,2013-01-02,54,12,6,20,30,1,3,2,2,0,3,7,0,0,0,0,0,0,0,48,72,1,Single,1
Graduate,Divorced,82582.0,Without_Kid,Without_Teen,2014-06-07,54,510,120,550,156,40,241,1,4,9,7,1,1,0,0,1,0,0,1,48,1617,0,Single,0
Graduate,Married,66373.0,With_Kid,With_Teen,2013-06-12,57,328,9,124,12,24,109,7,4,2,10,3,0,0,0,0,0,0,0,47,606,1,Partner,2
Postgraduate,Together,82384.0,Without_Kid,Without_Teen,2012-11-19,55,984,51,432,180,120,190,1,3,10,13,1,0,0,1,0,0,0,1,70,1957,0,Partner,0
Graduate,Divorced,70287.0,Without_Kid,Without_Teen,2013-04-02,30,295,35,482,121,120,40,1,5,5,10,3,0,0,0,0,0,0,1,59,1093,0,Single,0
Graduate,Single,27938.0,With_Kid,Without_Teen,2014-04-28,31,13,0,8,2,1,5,1,1,0,4,3,0,0,0,0,0,0,0,37,29,1,Single,1
Postgraduate,Married,55954.0,Without_Kid,With_Teen,2014-03-03,63,447,0,28,0,0,43,3,8,2,6,7,0,0,0,0,0,0,0,57,518,1,Partner,1
Postgraduate,Single,75777.0,Without_Kid,Without_Teen,2013-07-04,12,712,26,538,69,13,80,1,3,6,11,1,0,1,1,0,0,0,1,43,1438,0,Single,0
Graduate,Together,66653.0,With_Kid,With_Teen,2012-09-07,18,452,18,102,16,18,6,4,4,2,12,3,0,0,0,0,0,0,0,50,612,1,Partner,2
Graduate,Single,61823.0,Without_Kid,With_Teen,2013-02-18,26,523,7,134,37,14,169,4,8,2,10,7,0,0,0,0,0,0,0,73,884,1,Single,1
Postgraduate,Widow,67680.0,Without_Kid,With_Teen,2013-06-11,8,546,0,48,0,6,6,1,7,3,8,5,0,0,0,0,0,0,0,74,606,1,Single,1
Graduate,Together,70666.0,Without_Kid,Without_Teen,2013-12-06,29,398,40,367,119,122,30,1,7,4,4,4,0,0,0,0,0,0,0,77,1076,0,Partner,0
Graduate,Married,25721.0,With_Kid,Without_Teen,2013-05-21,75,1,3,6,3,6,15,1,1,1,2,7,0,0,0,0,0,0,1,54,34,1,Partner,1
Graduate,Together,32474.0,With_Kid,With_Teen,2014-05-11,0,10,0,1,0,0,0,1,1,0,2,7,0,0,0,0,0,0,0,58,11,1,Partner,2
Undergraduate,Single,88194.0,Without_Kid,With_Teen,2014-03-19,19,688,14,309,201,24,38,1,11,10,10,5,1,0,0,1,0,0,1,46,1274,1,Single,1
Graduate,Together,69096.0,Without_Kid,With_Teen,2013-09-27,4,247,49,159,7,82,109,1,5,2,10,4,0,0,0,0,0,0,0,67,653,1,Partner,1
Graduate,Together,74854.0,With_Kid,With_Teen,2013-04-08,90,856,59,487,58,29,73,7,2,5,5,5,0,0,0,0,0,0,0,55,1562,1,Partner,3
Postgraduate,Married,66991.0,Without_Kid,Without_Teen,2012-09-11,1,496,36,460,189,60,12,3,4,8,6,3,0,0,0,0,0,0,0,71,1253,0,Partner,0
Graduate,Married,65031.0,Without_Kid,With_Teen,2013-03-17,29,258,107,291,84,37,86,4,10,3,13,7,0,0,0,0,0,0,0,66,863,1,Partner,1
Postgraduate,Married,60631.0,With_Kid,With_Teen,2013-04-05,88,565,6,65,0,6,19,5,9,2,8,7,0,1,0,0,0,0,0,50,661,1,Partner,2
Graduate,Married,28332.0,Without_Kid,Without_Teen,2014-04-30,58,14,10,13,4,15,9,1,2,1,4,2,0,0,0,0,0,0,0,73,65,0,Partner,0
Graduate,Divorced,40246.0,With_Kid,Without_Teen,2012-12-19,68,2,1,6,2,1,1,1,1,0,2,6,0,0,0,0,0,0,0,48,13,1,Single,1
Postgraduate,Married,75251.0,Without_Kid,Without_Teen,2012-08-27,34,721,111,925,97,18,18,1,7,6,5,5,0,0,0,0,0,0,1,53,1890,0,Partner,0
Graduate,Single,75825.0,Without_Kid,Without_Teen,2012-10-12,40,1032,105,779,137,105,51,0,5,8,9,4,1,0,0,0,0,0,1,49,2209,0,Single,0
Undergraduate,Together,26326.0,Without_Kid,Without_Teen,2013-09-04,12,1,0,5,0,3,9,1,0,0,3,3,0,0,0,0,0,1,0,49,18,0,Partner,0
Graduate,Together,56046.0,Without_Kid,Without_Teen,2013-01-02,9,577,0,64,0,0,51,2,10,1,8,8,1,0,0,0,0,0,1,60,692,0,Partner,0
Graduate,Single,29760.0,With_Kid,Without_Teen,2012-08-29,87,64,4,68,7,5,17,4,3,1,4,8,0,0,0,0,0,0,0,40,165,1,Single,1
Graduate,Married,26304.0,With_Kid,Without_Teen,2013-06-23,5,4,1,5,2,0,4,1,1,0,2,7,0,0,0,0,0,0,0,56,16,1,Partner,1
Undergraduate,Married,23559.0,With_Kid,Without_Teen,2013-07-03,87,25,5,19,7,0,23,3,3,0,3,7,0,0,0,0,0,0,0,52,79,1,Partner,1
Postgraduate,Together,38620.0,Without_Kid,Without_Teen,2013-05-11,56,112,17,44,34,22,89,1,2,5,3,3,0,0,0,0,0,0,0,62,318,0,Partner,0
Graduate,Divorced,81361.0,Without_Kid,Without_Teen,2014-02-25,18,163,23,424,27,65,76,1,3,10,13,1,0,0,0,0,0,0,0,38,778,0,Single,0
Graduate,Married,29440.0,With_Kid,With_Teen,2013-08-11,95,17,8,14,10,4,3,2,1,0,4,7,0,0,0,0,0,0,0,65,56,1,Partner,2
Postgraduate,Married,36138.0,With_Kid,With_Teen,2013-07-16,48,130,0,16,0,0,5,5,3,1,4,7,0,1,0,0,0,0,0,55,151,1,Partner,2
Graduate,Single,50388.0,Without_Kid,With_Teen,2014-05-28,3,292,6,37,0,3,34,4,6,1,6,7,0,1,0,1,0,0,1,68,372,1,Single,1
Graduate,Married,79593.0,Without_Kid,Without_Teen,2014-05-12,70,350,60,568,110,133,145,1,5,6,7,2,0,0,1,0,0,0,0,52,1366,0,Partner,0
Graduate,Together,54178.0,Without_Kid,With_Teen,2014-01-21,79,135,9,39,4,0,7,1,2,2,5,2,0,0,0,0,0,0,0,58,194,1,Partner,1
Postgraduate,Single,42394.0,With_Kid,Without_Teen,2014-03-23,69,15,2,10,0,1,4,1,1,0,3,7,0,0,0,0,0,0,0,53,32,1,Single,1
Postgraduate,Married,23626.0,With_Kid,Without_Teen,2014-05-24,84,27,2,14,0,0,0,3,3,1,3,5,0,0,0,0,0,0,0,55,43,1,Partner,1
Graduate,Married,30096.0,With_Kid,Without_Teen,2014-05-22,30,5,3,11,12,5,9,1,2,0,3,6,0,0,0,0,0,0,0,42,45,1,Partner,1
Graduate,Widow,47916.0,Without_Kid,With_Teen,2012-11-22,72,505,0,26,0,0,75,5,7,4,6,6,0,1,0,0,0,0,0,65,606,1,Single,1
Graduate,Divorced,51813.0,With_Kid,With_Teen,2013-04-11,37,51,2,7,0,1,2,2,2,0,3,7,0,0,0,0,0,0,0,53,63,1,Single,2
Undergraduate,Married,78497.0,Without_Kid,Without_Teen,2013-12-01,44,207,26,447,75,0,223,1,5,7,12,2,0,0,0,1,0,0,0,74,978,0,Partner,0
Postgraduate,Married,50150.0,Without_Kid,Without_Teen,2013-06-20,32,135,46,92,65,61,11,2,5,2,7,5,0,0,0,0,0,0,0,42,410,0,Partner,0
Undergraduate,Single,47823.0,Without_Kid,With_Teen,2013-07-23,0,53,1,5,2,1,10,2,2,0,3,8,0,0,0,0,0,0,0,65,72,1,Single,1
Postgraduate,Single,34554.0,Without_Kid,With_Teen,2014-03-30,43,41,1,6,2,0,5,2,2,0,3,6,0,0,0,0,0,0,0,66,55,1,Single,1
Graduate,Together,85693.0,Without_Kid,With_Teen,2013-04-20,59,386,172,183,185,132,111,2,9,5,11,5,0,0,0,0,0,0,0,46,1169,1,Partner,1
Postgraduate,Married,65846.0,Without_Kid,Without_Teen,2013-05-17,68,562,81,276,80,40,81,1,6,3,6,4,0,0,0,0,0,0,0,80,1120,0,Partner,0
Graduate,Married,87195.0,Without_Kid,Without_Teen,2014-05-08,35,217,76,690,50,26,38,1,3,11,5,1,0,0,0,0,0,0,1,66,1097,0,Partner,0
Undergraduate,Together,24594.0,With_Kid,Without_Teen,2013-12-10,94,1,3,6,10,0,9,1,1,0,3,5,0,0,0,0,0,0,0,46,29,1,Partner,1
Graduate,Married,49096.0,With_Kid,With_Teen,2013-09-24,15,144,1,32,2,1,7,4,4,1,4,7,0,0,0,0,0,0,0,61,187,1,Partner,2
Graduate,Married,52413.0,Without_Kid,With_Teen,2013-02-02,56,295,106,271,75,98,65,4,6,4,12,6,0,0,0,0,0,0,0,56,910,1,Partner,2
Graduate,Single,38557.0,With_Kid,Without_Teen,2012-12-19,17,76,3,31,4,4,27,2,3,1,3,7,0,0,0,0,0,0,0,47,145,1,Single,1
Postgraduate,Married,89058.0,Without_Kid,Without_Teen,2012-12-07,18,454,194,106,31,22,43,1,5,4,4,2,0,0,0,0,0,0,0,65,850,0,Partner,0
Graduate,Together,77298.0,Without_Kid,With_Teen,2013-11-02,46,425,115,292,23,35,79,1,6,6,11,3,0,0,0,0,0,0,0,46,969,1,Partner,1
Postgraduate,Single,68126.0,Without_Kid,Without_Teen,2012-11-10,40,1332,17,311,23,51,86,1,7,4,5,9,0,1,0,0,0,0,1,34,1820,0,Single,0
Postgraduate,Together,57288.0,Without_Kid,With_Teen,2014-06-25,27,527,0,21,0,0,60,3,8,1,8,6,0,1,0,0,0,0,0,62,608,1,Partner,1
Graduate,Single,86037.0,Without_Kid,Without_Teen,2013-01-02,95,490,44,125,29,20,22,1,6,7,11,3,0,1,1,0,0,0,1,34,730,0,Single,0
Postgraduate,Married,43974.0,With_Kid,Without_Teen,2012-12-12,19,378,0,101,0,0,72,5,6,4,6,7,0,0,0,0,0,0,0,45,551,1,Partner,1
Graduate,Single,50785.0,With_Kid,With_Teen,2013-09-10,27,64,1,21,0,1,27,2,2,1,3,6,0,0,0,0,0,0,0,63,114,1,Single,2
Graduate,Married,90765.0,Without_Kid,Without_Teen,2014-01-24,25,547,99,812,151,82,33,0,4,6,5,1,0,0,1,1,0,0,0,55,1724,0,Partner,0
Undergraduate,Married,36550.0,With_Kid,Without_Teen,2013-02-19,74,47,90,94,123,103,120,5,9,1,5,9,0,0,0,0,0,0,0,47,577,1,Partner,1
Undergraduate,Together,30753.0,With_Kid,With_Teen,2013-07-11,85,12,5,25,0,9,30,2,1,1,3,5,0,0,0,0,0,0,0,58,81,1,Partner,2
Graduate,Together,21918.0,With_Kid,Without_Teen,2013-11-14,37,1,6,7,11,5,3,2,2,0,3,6,0,0,0,0,0,0,0,56,33,1,Partner,1
Postgraduate,Together,56129.0,Without_Kid,With_Teen,2013-06-20,65,320,48,133,39,72,48,4,6,2,10,4,0,0,0,0,0,0,0,72,660,1,Partner,1
Postgraduate,Single,32557.0,With_Kid,Without_Teen,2014-02-24,13,34,3,29,0,4,10,3,2,1,3,5,0,0,0,0,0,0,1,58,80,1,Single,1
Postgraduate,Married,19510.0,With_Kid,Without_Teen,2013-09-04,63,9,0,7,3,4,7,2,1,0,3,7,0,0,0,0,0,0,0,40,30,1,Partner,2
Graduate,Divorced,30992.0,With_Kid,Without_Teen,2013-04-22,83,17,0,14,7,3,2,1,1,0,3,7,0,0,0,0,0,0,0,49,43,1,Single,1
Graduate,Single,101970.0,Without_Kid,Without_Teen,2013-03-12,69,722,27,102,44,72,168,0,6,8,13,2,0,1,1,1,0,0,1,42,1135,0,Single,0
Undergraduate,Together,71488.0,Without_Kid,Without_Teen,2013-02-18,87,162,33,124,40,28,172,2,3,4,7,1,0,0,0,0,0,0,0,60,559,0,Partner,0
Graduate,Single,79607.0,Without_Kid,Without_Teen,2013-04-21,37,450,133,951,173,0,216,1,3,6,6,1,0,0,0,0,0,0,1,41,1923,0,Single,0
Postgraduate,Married,54348.0,With_Kid,With_Teen,2014-06-08,51,70,0,16,0,0,4,2,2,0,4,6,0,0,0,0,0,0,0,72,90,1,Partner,2
Postgraduate,Together,77376.0,With_Kid,With_Teen,2014-05-10,72,492,19,110,16,12,12,4,6,3,10,4,0,0,0,0,0,0,0,69,661,1,Partner,2
Graduate,Married,62998.0,Without_Kid,With_Teen,2013-09-30,10,120,58,73,65,89,58,5,5,4,5,5,0,0,0,0,0,0,0,73,463,1,Partner,1
Postgraduate,Single,61331.0,With_Kid,With_Teen,2013-03-10,42,534,5,47,0,5,41,5,11,1,6,8,0,0,0,0,0,0,0,67,632,1,Single,2
Graduate,Married,73448.0,Without_Kid,Without_Teen,2014-02-10,10,236,106,189,23,41,130,1,7,2,9,4,0,0,0,0,0,0,0,56,725,0,Partner,0
Postgraduate,Married,41551.0,With_Kid,With_Teen,2013-08-14,51,220,0,33,3,0,23,5,5,1,5,8,0,0,0,0,0,0,0,61,279,1,Partner,2
Postgraduate,Together,62981.0,Without_Kid,Without_Teen,2013-03-17,21,796,14,590,38,44,0,1,4,5,13,3,0,1,0,0,0,0,0,58,1482,0,Partner,0
Undergraduate,Divorced,9548.0,With_Kid,Without_Teen,2012-08-08,31,0,1,3,10,6,9,2,1,0,3,8,0,0,0,0,0,0,0,49,29,1,Single,1
Postgraduate,Married,33762.0,With_Kid,With_Teen,2013-07-07,61,53,1,34,2,0,16,3,2,2,2,8,0,0,0,0,0,0,0,66,106,1,Partner,3
Postgraduate,Single,35860.0,With_Kid,With_Teen,2014-05-19,37,15,0,8,4,2,20,2,1,1,2,5,1,0,0,0,0,0,1,52,49,1,Single,2
Postgraduate,Divorced,36921.0,With_Kid,With_Teen,2013-07-28,74,17,1,12,3,1,4,2,2,0,3,7,0,0,0,0,0,0,0,60,38,1,Single,2
Postgraduate,Single,92859.0,Without_Kid,Without_Teen,2012-10-19,46,962,61,921,52,61,20,1,5,4,12,2,0,0,0,0,0,0,0,33,2077,0,Single,0
Postgraduate,Together,65104.0,Without_Kid,With_Teen,2013-11-14,4,738,0,232,13,20,50,2,3,5,7,7,0,0,0,0,0,0,1,49,1053,1,Partner,1
Graduate,Married,86111.0,Without_Kid,Without_Teen,2013-04-19,73,399,28,756,36,40,126,1,5,7,10,2,0,0,0,0,0,0,0,63,1385,0,Partner,0
Postgraduate,Single,68352.0,Without_Kid,With_Teen,2013-08-28,47,614,16,132,43,33,33,3,8,5,9,6,0,0,0,0,0,0,0,51,871,1,Single,1
Graduate,Together,41883.0,With_Kid,Without_Teen,2013-03-19,13,32,34,41,73,16,116,3,4,2,3,7,0,0,0,0,0,0,0,37,312,1,Partner,1
Graduate,Married,59809.0,Without_Kid,With_Teen,2012-10-18,36,598,16,141,32,41,49,3,3,3,6,8,0,0,0,0,0,0,0,49,877,1,Partner,2
Graduate,Married,23957.0,With_Kid,Without_Teen,2012-10-28,47,2,1,18,20,11,16,1,2,0,3,6,0,0,0,0,0,0,1,50,68,1,Partner,1
Graduate,Together,38547.0,With_Kid,Without_Teen,2013-08-28,49,6,1,10,0,1,4,1,1,0,2,8,0,0,0,0,0,1,0,44,22,1,Partner,1
Undergraduate,Married,35688.0,With_Kid,With_Teen,2012-08-22,94,73,3,90,12,1,32,7,4,1,4,8,0,0,0,0,0,0,0,52,211,1,Partner,3
Postgraduate,Married,49605.0,Without_Kid,Without_Teen,2014-06-21,65,42,16,29,12,20,8,1,2,1,4,3,0,0,0,0,0,0,0,59,127,0,Partner,0
Postgraduate,Married,59354.0,Without_Kid,With_Teen,2014-04-24,59,295,21,78,39,13,13,1,4,4,7,3,0,0,0,0,0,0,0,72,459,1,Partner,2
Graduate,Married,65747.0,Without_Kid,With_Teen,2014-03-07,96,346,17,48,23,13,13,4,8,1,6,6,0,1,0,0,0,0,0,56,460,1,Partner,1
Undergraduate,Together,46344.0,Without_Kid,With_Teen,2012-12-14,28,233,20,57,8,20,91,4,7,1,5,7,0,0,0,0,0,0,0,53,429,1,Partner,1
Graduate,Single,34176.0,With_Kid,Without_Teen,2014-05-12,12,5,7,24,19,14,20,4,3,0,4,6,0,0,0,0,0,0,0,37,89,1,Single,1
Postgraduate,Together,61010.0,Without_Kid,With_Teen,2012-10-09,57,888,0,57,0,0,76,2,8,5,11,5,0,0,0,0,0,0,0,73,1021,1,Partner,1
Graduate,Together,69372.0,Without_Kid,Without_Teen,2013-02-19,10,997,26,269,34,13,42,1,10,4,6,4,0,1,1,0,0,0,1,76,1381,0,Partner,0
Graduate,Single,49967.0,Without_Kid,With_Teen,2013-07-08,4,212,6,69,4,12,3,3,6,1,5,7,0,0,0,0,0,0,0,67,306,1,Single,1
Graduate,Single,60199.0,With_Kid,With_Teen,2013-09-12,49,8,1,7,2,0,0,1,0,0,3,4,0,0,0,0,0,0,0,47,18,1,Single,3
Graduate,Together,55375.0,Without_Kid,With_Teen,2013-10-17,3,42,11,57,10,28,14,1,1,1,6,2,0,0,0,0,0,0,0,48,162,1,Partner,1
Graduate,Single,80317.0,Without_Kid,Without_Teen,2013-08-20,64,536,11,387,149,91,57,1,3,4,10,1,0,0,0,0,0,0,0,70,1231,0,Single,0
Postgraduate,Single,30523.0,With_Kid,With_Teen,2013-07-01,0,5,0,3,0,0,5,1,1,0,2,7,0,0,0,0,0,0,0,67,13,1,Single,3
Postgraduate,Married,70356.0,Without_Kid,Without_Teen,2012-11-05,20,1349,16,249,43,16,33,2,10,6,9,6,0,0,0,0,0,0,0,80,1706,0,Partner,0
Graduate,Married,23228.0,With_Kid,Without_Teen,2014-01-05,91,53,3,49,7,4,5,4,3,0,4,8,0,0,0,0,0,0,0,41,121,1,Partner,1
Postgraduate,Divorced,74165.0,Without_Kid,Without_Teen,2013-05-01,9,1001,12,240,16,12,12,1,5,4,10,2,0,0,0,0,0,0,0,50,1293,0,Single,0
Postgraduate,Married,157243.0,Without_Kid,With_Teen,2014-03-01,98,20,2,1582,1,2,1,15,0,22,0,0,0,0,0,0,0,0,0,52,1608,1,Partner,1
Graduate,Together,43482.0,With_Kid,With_Teen,2013-11-13,83,18,1,32,6,3,28,3,2,0,4,6,0,0,0,0,0,0,0,59,88,1,Partner,3
Graduate,Divorced,62551.0,Without_Kid,Without_Teen,2013-11-18,27,125,16,98,134,21,27,1,6,7,4,3,1,0,0,0,0,0,0,72,421,0,Single,0
Graduate,Divorced,52332.0,Without_Kid,Without_Teen,2013-08-28,63,212,5,33,7,0,2,1,3,2,6,4,0,1,0,0,0,0,0,66,259,0,Single,0
Graduate,Single,66951.0,Without_Kid,Without_Teen,2013-11-02,46,277,162,305,173,76,124,1,3,4,7,1,0,0,0,0,0,0,0,37,1117,0,Single,0
Graduate,Together,26091.0,With_Kid,With_Teen,2014-02-25,84,15,10,19,8,17,20,3,2,1,3,5,0,0,0,0,0,0,0,68,89,1,Partner,2
Graduate,Together,33456.0,With_Kid,With_Teen,2014-04-21,58,7,3,10,8,1,7,2,1,0,3,7,0,0,0,0,0,0,0,60,36,1,Partner,2
Graduate,Married,28718.0,With_Kid,Without_Teen,2013-07-13,78,12,4,6,11,8,16,2,2,0,3,8,0,0,0,0,0,0,0,43,57,1,Partner,1
